Date,Count,HitRate,PolicyCount,PolicyHitRate
2024-12-22,64,0.5172413793103449,6,0.5
2024-12-26,66,0.4461538461538462,7,0.42857142857142855
2024-12-28,12,0.75,2,0.5
2024-12-30,8,0.375,1,0.0
2025-01-01,35,0.38235294117647056,3,0.6666666666666666
2025-01-03,18,0.4,3,0.3333333333333333
2025-01-05,30,0.7142857142857143,4,0.5
2025-01-07,7,0.16666666666666666,1,1.0
2025-01-09,5,0.6,2,0.5
2025-01-11,62,0.6206896551724138,8,0.75
2025-01-13,13,0.5384615384615384,1,1.0
2025-01-15,17,0.6666666666666666,4,0.5
2025-01-17,33,0.5,3,0.6666666666666666
2025-01-19,66,0.6610169491525424,9,0.7777777777777778
2025-01-21,29,0.5357142857142857,8,0.75
2025-01-23,20,0.42105263157894735,2,1.0
2025-01-25,118,0.6037735849056604,11,0.45454545454545453
2025-01-27,18,0.6,0,
2025-01-29,36,0.6,9,0.7777777777777778
2025-02-01,137,0.5725190839694656,11,0.5454545454545454
2025-02-03,30,0.5357142857142857,6,0.6666666666666666
2025-02-05,6,0.8,2,0.5
2025-02-07,42,0.6578947368421053,4,0.25
2025-02-09,99,0.5591397849462365,14,0.7142857142857143
2025-02-11,25,0.6521739130434783,3,0.6666666666666666
2025-02-13,21,0.5555555555555556,3,0.6666666666666666
2025-02-15,156,0.5547945205479452,20,0.6
2025-02-17,24,0.6818181818181818,1,1.0
2025-02-19,9,0.7142857142857143,0,
2025-02-21,48,0.5227272727272727,4,0.75
2025-02-23,131,0.5887096774193549,21,0.6190476190476191
2025-02-25,22,0.75,2,0.5
2025-02-27,11,0.4,1,0.0
2025-03-01,154,0.5766423357664233,13,0.6923076923076923
2025-03-03,26,0.4,5,0.8
2025-03-05,9,0.3333333333333333,0,
2025-03-07,53,0.574468085106383,5,0.4
2025-03-09,140,0.5396825396825397,11,0.5454545454545454
2025-03-11,36,0.42857142857142855,5,0.6
2025-03-13,13,0.6666666666666666,2,0.5
2025-03-15,155,0.47619047619047616,17,0.5294117647058824
2025-03-17,11,0.45454545454545453,0,
2025-03-19,1,1.0,0,
2025-03-21,5,0.8,0,
2025-03-23,29,0.48,0,
2025-03-25,3,0.5,1,0.0
2025-03-27,14,0.5714285714285714,0,
2025-03-29,191,0.5988700564971752,20,0.65
2025-03-31,24,0.45454545454545453,0,
2025-04-02,33,0.5151515151515151,8,0.875
2025-04-04,43,0.6341463414634146,2,0.5
2025-04-06,177,0.6369047619047619,16,0.6875
2025-04-08,21,0.3684210526315789,1,1.0
2025-04-10,16,0.5,1,0.0
2025-04-12,174,0.620253164556962,19,0.7894736842105263
2025-04-14,40,0.3888888888888889,7,0.5714285714285714
2025-04-16,33,0.5333333333333333,5,0.8
2025-04-18,88,0.6049382716049383,9,0.8888888888888888
2025-04-20,133,0.6341463414634146,10,0.8
2025-04-22,30,0.5,2,1.0
2025-04-24,21,0.5789473684210527,5,0.4
2025-04-26,135,0.5968992248062015,15,0.6666666666666666
2025-04-28,48,0.6046511627906976,5,1.0
2025-04-30,7,0.7142857142857143,1,1.0
2025-05-02,59,0.6296296296296297,6,0.8333333333333334
2025-05-04,151,0.5405405405405406,21,0.7142857142857143
2025-05-06,18,0.7333333333333333,2,1.0
2025-05-08,5,0.4,0,
2025-05-10,147,0.5683453237410072,23,0.6521739130434783
2025-05-12,30,0.7,2,0.5
2025-05-14,34,0.6363636363636364,9,0.7777777777777778
2025-05-16,34,0.5,3,0.6666666666666666
2025-05-18,162,0.5612903225806452,18,0.6111111111111112
2025-05-20,14,0.7857142857142857,2,1.0
2025-05-22,13,0.4166666666666667,1,1.0
2025-05-24,95,0.6931818181818182,13,0.6153846153846154
2025-05-26,26,0.75,4,1.0
2025-05-28,7,0.2857142857142857,1,0.0
2025-05-30,7,0.7142857142857143,2,1.0
2025-06-01,72,0.5735294117647058,4,1.0
2025-06-03,3,0.6666666666666666,0,
2025-06-05,5,0.4,0,
2025-06-07,9,0.4444444444444444,1,1.0
2025-06-09,7,0.5714285714285714,2,1.0
2025-06-11,1,1.0,0,
2025-06-13,15,0.5,1,1.0
2025-06-15,45,0.575,2,0.5
2025-06-17,10,0.8,2,1.0
2025-06-19,11,0.5,2,0.5
2025-06-21,34,0.53125,1,1.0
2025-06-23,6,0.3333333333333333,0,
2025-06-25,9,0.5555555555555556,2,1.0
2025-06-27,6,0.3333333333333333,0,
2025-06-29,47,0.5,5,0.6
2025-07-01,4,0.3333333333333333,0,
2025-07-03,1,1.0,0,
2025-07-05,38,0.6388888888888888,4,1.0
2025-07-07,7,0.6666666666666666,2,1.0
2025-07-09,4,0.5,1,1.0
2025-07-11,6,0.8333333333333334,1,1.0
2025-07-13,56,0.5769230769230769,4,1.0
2025-07-15,18,0.625,1,1.0
2025-07-17,31,0.6153846153846154,2,0.5
2025-07-19,65,0.5862068965517241,7,0.5714285714285714
2025-07-21,9,0.3333333333333333,0,
2025-07-23,16,0.4,2,0.0
2025-07-25,14,0.42857142857142855,0,
2025-07-27,80,0.6578947368421053,8,0.75
2025-07-29,9,0.625,1,0.0
2025-07-31,15,0.6428571428571429,3,0.6666666666666666
2025-08-02,88,0.6385542168674698,13,0.8461538461538461
2025-08-04,20,0.6,4,1.0
2025-08-06,13,0.4166666666666667,1,1.0
2025-08-08,34,0.5483870967741935,3,0.6666666666666666
2025-08-10,130,0.5169491525423728,12,0.6666666666666666
2025-08-12,20,0.5882352941176471,3,0.6666666666666666
2025-08-14,12,0.7,2,1.0
2025-08-16,140,0.5196850393700787,13,0.6923076923076923
2025-08-18,25,0.4782608695652174,4,0.5
2025-08-20,10,0.3,0,
2025-08-22,38,0.5555555555555556,7,0.8571428571428571
2025-08-24,157,0.5405405405405406,18,0.7777777777777778
2025-08-26,7,0.6,0,
2025-08-28,14,0.5384615384615384,3,1.0
2025-08-30,165,0.5894039735099338,13,0.6923076923076923
2025-09-01,10,0.4444444444444444,0,
2025-09-03,1,0.0,0,
2025-09-05,10,0.625,1,1.0
2025-09-07,26,0.64,4,0.75
2025-09-09,1,1.0,0,
2025-09-11,2,0.5,0,
2025-09-13,197,0.5343915343915344,23,0.7391304347826086
2025-09-15,22,0.5,3,0.6666666666666666
2025-09-17,25,0.5833333333333334,5,0.6
2025-09-19,47,0.5952380952380952,5,0.4
2025-09-21,152,0.6275862068965518,8,1.0
2025-09-23,32,0.5,3,0.6666666666666666
2025-09-25,27,0.48148148148148145,5,0.4
2025-09-27,179,0.5670731707317073,16,0.75
2025-09-29,35,0.625,4,1.0
