League,PICK_FINAL,count,hit,MARKET,hit_adj_mkt
Argentina - Liga Professional,BTTS_No,14,0.5714285714285714,BTTS,0.5685526637839602
Argentina - Liga Professional,BTTS_Yes,13,0.5384615384615384,BTTS,0.5415872052704577
Argentina - Liga Professional,MS1,11,0.5454545454545454,1X2,0.5578534985422741
Argentina - Liga Professional,Over2.5,3,0.0,OU,0.28160048499545315
Argentina - Liga Professional,Under2.5,189,0.6402116402116402,OU,0.6390083484894412
Argentina - Liga Professional,X,11,0.6363636363636364,1X2,0.6292820699708456
Australia - A League,BTTS_No,5,0.4,BTTS,0.4581744105409154
Australia - A League,BTTS_Yes,45,0.5111111111111111,BTTS,0.5138624017568193
Australia - A League,MS1,9,0.6666666666666666,1X2,0.6508290816326531
Australia - A League,MS2,2,0.5,1X2,0.5619897959183674
Australia - A League,Over2.5,27,0.7037037037037037,OU,0.689653430332424
Australia - A League,Under2.5,3,0.3333333333333333,OU,0.4482671516621198
Australia - A League,X,4,0.0,1X2,0.258564139941691
Austria - Bundesliga,BTTS_No,8,0.5,BTTS,0.5150359349388475
Austria - Bundesliga,BTTS_Yes,37,0.6486486486486487,BTTS,0.6416348821081831
Austria - Bundesliga,MS1,14,0.5714285714285714,1X2,0.5770558223289316
Austria - Bundesliga,MS2,6,0.6666666666666666,1X2,0.6455498866213153
Austria - Bundesliga,Over2.5,8,0.375,OU,0.42632753727024714
Austria - Bundesliga,Under2.5,22,0.4090909090909091,OU,0.42758411639890875
Austria - Bundesliga,X,8,0.375,1X2,0.4372680890538034
Belgium - Jupiler Pro League,BTTS_No,6,0.3333333333333333,BTTS,0.4072661427030359
Belgium - Jupiler Pro League,BTTS_Yes,51,0.49019607843137253,BTTS,0.49380361637643194
Belgium - Jupiler Pro League,MS1,31,0.7096774193548387,1X2,0.7002926170468188
Belgium - Jupiler Pro League,MS2,6,0.6666666666666666,1X2,0.6455498866213153
Belgium - Jupiler Pro League,Over2.5,44,0.5227272727272727,OU,0.5253107002121855
Belgium - Jupiler Pro League,Under2.5,15,0.4666666666666667,OU,0.4827557172207066
Belgium - Jupiler Pro League,X,15,0.2,1X2,0.26721938775510207
Bolivia - Division Profesional,BTTS_No,2,0.0,BTTS,0.33307905686546463
Bolivia - Division Profesional,BTTS_Yes,36,0.6388888888888888,BTTS,0.6324460329314698
Bolivia - Division Profesional,MS1,43,0.813953488372093,1X2,0.8002162821650399
Bolivia - Division Profesional,MS2,1,0.0,1X2,0.4524872448979592
Bolivia - Division Profesional,Over2.5,35,0.6285714285714286,OU,0.623410602894019
Bolivia - Division Profesional,Under2.5,6,0.5,OU,0.5210669899969687
Brazil - Serie A,BTTS_No,10,0.6,BTTS,0.5896457911021018
Brazil - Serie A,BTTS_Yes,44,0.4318181818181818,BTTS,0.4396892613686665
Brazil - Serie A,MS1,38,0.6842105263157895,1X2,0.6782914385266302
Brazil - Serie A,MS2,2,1.0,1X2,0.7619897959183674
Brazil - Serie A,Over2.5,9,0.4444444444444444,OU,0.47413357583105986
Brazil - Serie A,Under2.5,84,0.4642857142857143,OU,0.4676965851721002
Brazil - Serie A,X,9,0.2222222222222222,1X2,0.31749574829931976
Brazil - Serie B,BTTS_No,4,0.25,BTTS,0.38077075490390333
Brazil - Serie B,BTTS_Yes,17,0.6470588235294118,BTTS,0.6332697642163662
