League,PICK_FINAL,count,hit,MARKET,hit_adj_mkt
Argentina - Liga Professional,BTTS_No,8,0.625,BTTS,0.6059450258479384
Argentina - Liga Professional,MS1,1,1.0,1X2,0.7024872448979592
Argentina - Liga Professional,Under2.5,66,0.6818181818181818,OU,0.6766609117387351
Argentina - Liga Professional,X,1,0.0,1X2,0.4524872448979592
Australia - A League,BTTS_Yes,15,0.4666666666666667,BTTS,0.4814108491292957
Australia - A League,MS1,5,0.6,1X2,0.6012436224489797
Australia - A League,Over2.5,9,0.7777777777777778,OU,0.7241335758310599
Austria - Bundesliga,BTTS_No,1,1.0,BTTS,0.6663488210818308
Austria - Bundesliga,BTTS_Yes,4,0.75,BTTS,0.6664850406181889
Austria - Bundesliga,MS1,1,1.0,1X2,0.7024872448979592
Belgium - Jupiler Pro League,BTTS_No,1,0.0,BTTS,0.4163488210818308
Belgium - Jupiler Pro League,BTTS_Yes,10,0.5,BTTS,0.5127227141790248
Belgium - Jupiler Pro League,MS1,11,0.7272727272727273,1X2,0.700710641399417
Belgium - Jupiler Pro League,MS2,2,1.0,1X2,0.7619897959183674
Belgium - Jupiler Pro League,Over2.5,4,0.5,OU,0.5270861299961027
Belgium - Jupiler Pro League,Under2.5,2,0.5,OU,0.5379205819945437
Bolivia - Division Profesional,BTTS_Yes,9,0.5555555555555556,BTTS,0.5554496070272769
Bolivia - Division Profesional,MS1,15,0.8,1X2,0.7672193877551021
Bolivia - Division Profesional,MS2,1,0.0,1X2,0.4524872448979592
Bolivia - Division Profesional,Over2.5,7,0.8571428571428571,OU,0.7689602909972718
Brazil - Serie A,BTTS_No,2,1.0,BTTS,0.7330790568654646
Brazil - Serie A,BTTS_Yes,4,0.5,BTTS,0.5236278977610461
Brazil - Serie A,MS1,4,0.75,1X2,0.6871355685131196
Brazil - Serie A,MS2,1,1.0,1X2,0.7024872448979592
Brazil - Serie A,Over2.5,2,0.5,OU,0.5379205819945437
Brazil - Serie A,Under2.5,10,0.5,OU,0.5145848392286706
Brazil - Serie B,BTTS_Yes,2,1.0,BTTS,0.7330790568654646
Brazil - Serie B,MS1,1,0.0,1X2,0.4524872448979592
Brazil - Serie B,Under2.5,23,0.6956521739130435,OU,0.6803693426912585
Canada - Premier League,BTTS_Yes,2,1.0,BTTS,0.7330790568654646
Canada - Premier League,MS2,1,0.0,1X2,0.4524872448979592
Chile - Primera,BTTS_No,1,1.0,BTTS,0.6663488210818308
Chile - Primera,BTTS_Yes,3,0.6666666666666666,BTTS,0.6108992140545538
Chile - Primera,MS1,1,1.0,1X2,0.7024872448979592
China - Super League,BTTS_No,1,0.0,BTTS,0.4163488210818308
China - Super League,BTTS_Yes,10,0.9,BTTS,0.8204150218713325
China - Super League,MS1,12,0.5833333333333334,1X2,0.5873299319727892
China - Super League,MS2,3,1.0,1X2,0.8016581632653063
China - Super League,Over2.5,2,1.0,OU,0.7379205819945438
Colombia - Primera A,BTTS_No,5,0.8,BTTS,0.7081744105409153
Colombia - Primera A,MS1,2,0.5,1X2,0.5619897959183674
Colombia - Primera A,Under2.5,14,0.5714285714285714,OU,0.569976641763101
Croatia - HNL,MS1,3,0.6666666666666666,1X2,0.6349914965986395
Croatia - HNL,Under2.5,11,0.8181818181818182,OU,0.7635430649980514
Cyprus - First Division,BTTS_Yes,1,1.0,BTTS,0.6663488210818308
Cyprus - First Division,MS1,2,1.0,1X2,0.7619897959183674
Cyprus - First Division,MS2,3,0.6666666666666666,1X2,0.6349914965986395
Cyprus - First Division,Under2.5,4,0.5,OU,0.5270861299961027
Czech - 1Liga,BTTS_No,1,1.0,BTTS,0.6663488210818308
Czech - 1Liga,BTTS_Yes,1,1.0,BTTS,0.6663488210818308
Czech - 1Liga,MS1,4,0.5,1X2,0.5442784256559767
Czech - 1Liga,MS2,5,1.0,1X2,0.8512436224489797
Denmark - Superliga,BTTS_Yes,14,0.7857142857142857,BTTS,0.7450232520192542
Denmark - Superliga,MS1,4,0.25,1X2,0.4014212827988338
Denmark - Superliga,Over2.5,3,1.0,OU,0.7816004849954531
Ecuador - LigaPro,BTTS_Yes,1,1.0,BTTS,0.6663488210818308
Ecuador - LigaPro,MS1,3,0.6666666666666666,1X2,0.6349914965986395
Ecuador - LigaPro,MS2,1,0.0,1X2,0.4524872448979592
Ecuador - LigaPro,Over2.5,1,1.0,OU,0.6724007274931797
Ecuador - LigaPro,Under2.5,3,1.0,OU,0.7816004849954531
England - Championship,BTTS_No,6,0.6666666666666666,BTTS,0.6294883649252581
England - Championship,BTTS_Yes,5,0.4,BTTS,0.4581744105409154
England - Championship,MS1,4,0.5,1X2,0.5442784256559767
England - Championship,MS2,1,0.0,1X2,0.4524872448979592
England - Championship,Under2.5,11,0.8181818181818182,OU,0.7635430649980514
England - League One,BTTS_No,3,0.3333333333333333,BTTS,0.4442325473878872
England - League One,BTTS_Yes,3,0.6666666666666666,BTTS,0.6108992140545538
England - League One,MS1,3,0.6666666666666666,1X2,0.6349914965986395
England - League One,MS2,2,0.0,1X2,0.3619897959183674
England - League One,Over2.5,1,0.0,OU,0.4224007274931797
England - League One,Under2.5,13,0.46153846153846156,OU,0.4806001818732949
England - League Two,BTTS_No,3,0.6666666666666666,BTTS,0.6108992140545538
England - League Two,BTTS_Yes,8,0.875,BTTS,0.7877632076661203
England - League Two,MS1,3,1.0,1X2,0.8016581632653063
England - League Two,Over2.5,1,0.0,OU,0.4224007274931797
England - League Two,Under2.5,10,0.5,OU,0.5145848392286706
England - Premier League,BTTS_No,1,1.0,BTTS,0.6663488210818308
England - Premier League,BTTS_Yes,13,0.8461538461538461,BTTS,0.7915872052704577
England - Premier League,MS1,11,1.0,1X2,0.9149963556851313
England - Premier League,MS2,5,0.8,1X2,0.7262436224489797
England - Premier League,Over2.5,8,1.0,OU,0.8808729918157017
Europe - Champions League,BTTS_No,2,1.0,BTTS,0.7330790568654646
Europe - Champions League,BTTS_Yes,4,0.75,BTTS,0.6664850406181889
Europe - Champions League,MS1,7,0.5714285714285714,1X2,0.5809948979591837
Europe - Champions League,MS2,2,1.0,1X2,0.7619897959183674
Europe - Champions League,Over2.5,10,0.7,OU,0.6684309930748245
Europe - Europa League,BTTS_No,1,1.0,BTTS,0.6663488210818308
Europe - Europa League,BTTS_Yes,3,1.0,BTTS,0.7775658807212205
Europe - Europa League,MS1,11,0.7272727272727273,1X2,0.700710641399417
Europe - Europa League,Over2.5,2,1.0,OU,0.7379205819945438
France - Ligue 1,BTTS_Yes,7,0.42857142857142855,BTTS,0.4665395284327323
France - Ligue 1,MS1,14,0.7857142857142857,1X2,0.7535264105642258
France - Ligue 1,Over2.5,6,0.5,OU,0.5210669899969687
France - Ligue 1,Under2.5,1,0.0,OU,0.4224007274931797
France - Ligue 2,BTTS_No,6,0.6666666666666666,BTTS,0.6294883649252581
France - Ligue 2,BTTS_Yes,5,1.0,BTTS,0.8331744105409153
France - Ligue 2,MS1,5,0.4,1X2,0.4762436224489796
France - Ligue 2,MS2,3,0.6666666666666666,1X2,0.6349914965986395
France - Ligue 2,Under2.5,3,0.6666666666666666,OU,0.6149338183287865
France - Ligue 2,X,1,1.0,1X2,0.7024872448979592
