,rules,n,coverage,hit,delta,odd_avg
4,PICK_SCORE_TOTAL >= q70 & PICK_MARGIN <= q50,36,0.093264249,0.75,0.268134715,1.86
16,PICK_PROB_ADJ >= q80 & PICK_MARGIN <= q50,28,0.07253886,0.75,0.268134715,1.763571429
7,PICK_SCORE_TOTAL >= q80 & PICK_MARGIN <= q50,27,0.069948187,0.740740741,0.258875456,1.872222222
12,PICK_PROB_ADJ >= q60 & PICK_MARGIN <= q50,58,0.150259067,0.706896552,0.225031267,1.80137931
14,PICK_PROB_ADJ >= q70 & PICK_MARGIN <= q50,39,0.101036269,0.692307692,0.210442407,1.786410256
6,PICK_SCORE_TOTAL >= q80 & PICK_MARGIN <= q60,31,0.080310881,0.677419355,0.19555407,1.863225806
15,PICK_PROB_ADJ >= q80 & PICK_MARGIN <= q60,34,0.088082902,0.676470588,0.194605303,1.761515152
3,PICK_SCORE_TOTAL >= q70 & PICK_MARGIN <= q60,43,0.111398964,0.674418605,0.19255332,1.858372093
24,PICK_PROB_ADJ >= q50 & PICK_MARGIN <= q50,76,0.196891192,0.671052632,0.189187347,1.798947368
11,PICK_PROB_ADJ >= q60 & PICK_MARGIN <= q60,68,0.176165803,0.661764706,0.179899421,1.797313433
9,PICK_SCORE_TOTAL >= q50 & PICK_MARGIN <= q50,69,0.178756477,0.652173913,0.170308628,1.850144928
20,PICK_PROB_ADJ >= q90 & SCORE_LAM_H <= q50,20,0.051813472,0.65,0.168134715,1.776842105
21,PICK_PROB_ADJ >= q90 & PICK_MARGIN <= q70,20,0.051813472,0.65,0.168134715,1.7275
23,PICK_PROB_ADJ >= q50 & PICK_MARGIN <= q60,93,0.240932642,0.64516129,0.163296005,1.806847826
13,PICK_PROB_ADJ >= q70 & PICK_MARGIN <= q60,46,0.119170984,0.630434783,0.148569498,1.778222222
2,PICK_SCORE_TOTAL >= q60 & PICK_MARGIN <= q50,54,0.139896373,0.62962963,0.147764345,1.867407407
0,PICK_SCORE_TOTAL >= q60 & xG_Away >= q80,24,0.062176166,0.625,0.143134715,2.015714286
22,PICK_PROB_ADJ >= q90 & PICK_MARGIN <= q80,24,0.062176166,0.625,0.143134715,1.726818182
25,P_OVER25_ADJ <= q60 & PICK_MARGIN <= q50,114,0.295336788,0.622807018,0.140941733,1.855877193
17,PICK_PROB_ADJ >= q90 & xG_Home <= q60,21,0.054404145,0.619047619,0.137182334,1.757
18,PICK_PROB_ADJ >= q90 & xG_Home <= q50,21,0.054404145,0.619047619,0.137182334,1.757
5,PICK_SCORE_TOTAL >= q70 & MARKET_WEIGHT >= q80,26,0.067357513,0.615384615,0.13351933,2.196538462
8,PICK_SCORE_TOTAL >= q50 & PICK_MARGIN <= q60,85,0.220207254,0.611764706,0.129899421,1.856309524
19,PICK_PROB_ADJ >= q90 & SCORE_LAM_H <= q60,23,0.059585492,0.608695652,0.126830367,1.750909091
10,PICK_SCORE_TOTAL <= q50 & xG_Away <= q60,101,0.261658031,0.603960396,0.122095111,1.894455446
26,P_OVER25_ADJ <= q70 & PICK_MARGIN <= q50,133,0.344559585,0.601503759,0.119638474,1.875263158
27,P_OVER25_ADJ <= q80 & PICK_MARGIN <= q50,153,0.396373057,0.60130719,0.119441905,1.887615894
1,PICK_SCORE_TOTAL >= q60 & PICK_MARGIN <= q60,65,0.168393782,0.6,0.118134715,1.866875
