,rules,n,coverage,hit,delta,odd_avg
142,PICK_PROB_ADJ >= q70 & P_OVER25_ADJ <= q60,141,0.059669911,0.687943262,0.134409619,1.725602837
334,P_OVER25_ADJ <= q60 & P_BTTSY_ADJ >= q70,141,0.059669911,0.687943262,0.134409619,1.725602837
344,P_OVER25_ADJ >= q70 & BestOfRank >= q90,125,0.052898857,0.68,0.126466356,1.63632
71,PICK_SCORE_TOTAL <= q80 & xG_Total >= q90,121,0.051206094,0.652892562,0.099358918,1.60892562
251,PICK_PROB_ADJ >= q80 & BestOfRank >= q90,135,0.057130766,0.651851852,0.098318208,1.64362963
305,PICK_PROB_ADJ >= q90 & PICK_MARGIN <= q70,129,0.054591621,0.651162791,0.097629147,1.548125
306,PICK_PROB_ADJ >= q90 & PICK_MARGIN <= q80,159,0.067287347,0.647798742,0.094265098,1.566075949
284,PICK_PROB_ADJ >= q90 & xG_Home <= q80,141,0.059669911,0.645390071,0.091856427,1.607785714
386,P_OVER25_ADJ >= q90 & BestOfRank >= q70,135,0.057130766,0.644444444,0.090910801,1.571333333
369,P_OVER25_ADJ >= q90 & xG_Home <= q90,162,0.068556919,0.641975309,0.088441665,1.5720625
202,PICK_PROB_ADJ >= q80 & P_OVER25_ADJ <= q80,145,0.061362675,0.64137931,0.087845667,1.693655172
359,P_OVER25_ADJ <= q80 & P_BTTSY_ADJ >= q80,145,0.061362675,0.64137931,0.087845667,1.693655172
81,PICK_SCORE_TOTAL >= q90 & xG_Total >= q70,142,0.060093102,0.64084507,0.087311427,1.622112676
394,P_OVER25_ADJ >= q90 & MARKET_WEIGHT <= q60,189,0.079983072,0.64021164,0.086677997,1.52171123
399,P_OVER25_ADJ >= q90 & MARKET_WEIGHT <= q50,189,0.079983072,0.64021164,0.086677997,1.52171123
278,PICK_PROB_ADJ >= q90 & xG_Total >= q70,161,0.068133728,0.639751553,0.086217909,1.5539375
270,PICK_PROB_ADJ >= q90 & P_OVER25_ADJ >= q90,147,0.062209056,0.639455782,0.085922139,1.550342466
363,P_OVER25_ADJ >= q90 & P_BTTSY_ADJ >= q90,147,0.062209056,0.639455782,0.085922139,1.550342466
80,PICK_SCORE_TOTAL >= q90 & xG_Total >= q60,158,0.066864156,0.639240506,0.085706863,1.640759494
307,PICK_PROB_ADJ >= q90 & PICK_MARGIN <= q90,194,0.082099027,0.639175258,0.085641614,1.572435233
64,PICK_SCORE_TOTAL >= q80 & MARKET_WEIGHT <= q60,266,0.112568769,0.639097744,0.085564101,1.575681818
68,PICK_SCORE_TOTAL >= q80 & MARKET_WEIGHT <= q50,266,0.112568769,0.639097744,0.085564101,1.575681818
309,PICK_PROB_ADJ >= q90 & MARKET_WEIGHT <= q60,180,0.076174355,0.638888889,0.085355245,1.534748603
314,PICK_PROB_ADJ >= q90 & MARKET_WEIGHT <= q50,180,0.076174355,0.638888889,0.085355245,1.534748603
388,P_OVER25_ADJ >= q90 & PICK_MARGIN <= q60,191,0.080829454,0.638743455,0.085209812,1.571216931
86,PICK_SCORE_TOTAL >= q90 & xG_Away >= q60,130,0.055014812,0.638461538,0.084927895,1.632846154
65,PICK_SCORE_TOTAL >= q80 & MARKET_WEIGHT <= q70,287,0.121455777,0.637630662,0.084097018,1.587087719
392,P_OVER25_ADJ >= q90 & PICK_MARGIN <= q50,171,0.072365637,0.637426901,0.083893257,1.574260355
371,P_OVER25_ADJ >= q90 & xG_Away >= q60,146,0.061785865,0.636986301,0.083452658,1.545517241
302,PICK_PROB_ADJ >= q90 & BestOfRank >= q70,168,0.071096064,0.636904762,0.083371118,1.610535714
