,rules,n,coverage,hit,delta,odd_avg
263,PICK_SCORE_TOTAL >= q50 & P_BTTSY_ADJ <= q50,80,0.243161094,0.8,0.158662614,1.4505
110,PICK_SCORE_TOTAL >= q70 & P_OVER25_ADJ <= q90,76,0.23100304,0.802631579,0.161294193,1.421973684
11,BestOfRank >= q80,67,0.203647416,0.805970149,0.164632763,1.458656716
112,PICK_SCORE_TOTAL >= q70 & P_BTTSY_ADJ <= q70,65,0.197568389,0.830769231,0.189431845,1.401846154
32,PICK_SCORE_TOTAL >= q60 & P_BTTSY_ADJ <= q50,64,0.194528875,0.8125,0.171162614,1.4175
291,PICK_SCORE_TOTAL >= q50 & BestOfRank >= q80,63,0.191489362,0.841269841,0.199932455,1.441111111
65,PICK_SCORE_TOTAL >= q60 & BestOfRank >= q80,59,0.179331307,0.847457627,0.206120241,1.431694915
109,PICK_SCORE_TOTAL >= q70 & P_OVER25_ADJ <= q80,57,0.17325228,0.807017544,0.165680158,1.43754386
131,PICK_SCORE_TOTAL >= q70 & BestOfRank >= q80,51,0.155015198,0.843137255,0.201799869,1.402156863
440,PICK_PROB_ADJ <= q90 & BestOfRank >= q80,44,0.133738602,0.795454545,0.154117159,1.57
531,P_OVER25_ADJ >= q60 & BestOfRank >= q80,40,0.121580547,0.825,0.183662614,1.40075
677,P_OVER25_ADJ <= q80 & BestOfRank >= q80,36,0.109422492,0.833333333,0.191995947,1.575277778
179,PICK_SCORE_TOTAL >= q80 & SCORE_LAM_A <= q80,36,0.109422492,0.805555556,0.16421817,1.4
182,PICK_SCORE_TOTAL >= q80 & MARKET_WEIGHT >= q50,34,0.103343465,0.823529412,0.182192026,1.407058824
12,BestOfRank >= q90,33,0.100303951,0.818181818,0.176844432,1.412121212
174,PICK_SCORE_TOTAL >= q80 & PICK_PROB_ADJ <= q90,33,0.100303951,0.818181818,0.176844432,1.436666667
293,PICK_SCORE_TOTAL >= q50 & BestOfRank >= q90,32,0.097264438,0.84375,0.202412614,1.41125
175,PICK_SCORE_TOTAL >= q80 & P_OVER25_ADJ <= q80,32,0.097264438,0.8125,0.171162614,1.4040625
67,PICK_SCORE_TOTAL >= q60 & BestOfRank >= q90,31,0.094224924,0.838709677,0.197372291,1.402580645
638,P_OVER25_ADJ <= q70 & BestOfRank >= q80,31,0.094224924,0.806451613,0.165114227,1.554193548
303,PICK_SCORE_TOTAL >= q50 & MARKET_WEIGHT >= q80,30,0.09118541,0.8,0.158662614,1.698333333
408,PICK_PROB_ADJ <= q80 & BestOfRank >= q80,30,0.09118541,0.8,0.158662614,1.663333333
585,P_OVER25_ADJ >= q70 & xG_Total <= q60,26,0.079027356,0.807692308,0.166354922,1.455384615
533,P_OVER25_ADJ >= q60 & BestOfRank >= q90,25,0.075987842,0.84,0.198662614,1.4108
177,PICK_SCORE_TOTAL >= q80 & xG_Away <= q70,25,0.075987842,0.8,0.158662614,1.4172
77,PICK_SCORE_TOTAL >= q60 & MARKET_WEIGHT >= q80,24,0.072948328,0.833333333,0.191995947,1.652916667
181,PICK_SCORE_TOTAL >= q80 & MARKET_WEIGHT >= q60,23,0.069908815,0.869565217,0.228227831,1.422173913
176,PICK_SCORE_TOTAL >= q80 & xG_Total <= q50,23,0.069908815,0.826086957,0.184749571,1.414347826
178,PICK_SCORE_TOTAL >= q80 & SCORE_LAM_A <= q70,23,0.069908815,0.826086957,0.184749571,1.455652174
334,PICK_PROB_ADJ >= q60 & MARKET_WEIGHT >= q70,21,0.063829787,0.80952381,0.168186424,1.418095238
