,rules,n,coverage,hit,delta,odd_avg
150,PICK_SCORE_TOTAL >= q80 & BestOfRank <= q70,69,0.068047337,0.724637681,0.171383243,1.646567164
385,PICK_PROB_ADJ >= q70 & BestOfRank <= q70,127,0.125246548,0.724409449,0.171155011,1.555245902
712,P_OVER25_ADJ >= q70 & BestOfRank <= q70,127,0.125246548,0.724409449,0.171155011,1.555245902
435,PICK_PROB_ADJ >= q80 & xG_Away >= q80,52,0.051282051,0.711538462,0.158284024,1.54
755,P_OVER25_ADJ >= q80 & xG_Away >= q80,52,0.051282051,0.711538462,0.158284024,1.54
382,PICK_PROB_ADJ >= q70 & SCORE_LAM_A >= q90,51,0.050295858,0.705882353,0.152627915,1.587755102
709,P_OVER25_ADJ >= q70 & SCORE_LAM_A >= q90,51,0.050295858,0.705882353,0.152627915,1.587755102
384,PICK_PROB_ADJ >= q70 & BestOfRank <= q60,88,0.08678501,0.704545455,0.151291017,1.548313253
711,P_OVER25_ADJ >= q70 & BestOfRank <= q60,88,0.08678501,0.704545455,0.151291017,1.548313253
107,PICK_SCORE_TOTAL >= q70 & BestOfRank <= q70,121,0.119329389,0.694214876,0.140960438,1.669747899
386,PICK_PROB_ADJ >= q70 & BestOfRank <= q80,170,0.16765286,0.694117647,0.140863209,1.555333333
713,P_OVER25_ADJ >= q70 & BestOfRank <= q80,170,0.16765286,0.694117647,0.140863209,1.555333333
366,PICK_PROB_ADJ >= q70 & xG_Away >= q80,77,0.075936884,0.688311688,0.13505725,1.580666667
693,P_OVER25_ADJ >= q70 & xG_Away >= q80,77,0.075936884,0.688311688,0.13505725,1.580666667
311,PICK_PROB_ADJ >= q60 & BestOfRank <= q70,192,0.189349112,0.6875,0.134245562,1.586956522
645,P_OVER25_ADJ >= q60 & BestOfRank <= q70,192,0.189349112,0.6875,0.134245562,1.586956522
448,PICK_PROB_ADJ >= q80 & BestOfRank <= q70,67,0.066074951,0.686567164,0.133312726,1.5078125
768,P_OVER25_ADJ >= q80 & BestOfRank <= q70,67,0.066074951,0.686567164,0.133312726,1.5078125
120,PICK_SCORE_TOTAL <= q70 & PICK_PROB_ADJ >= q70,51,0.050295858,0.68627451,0.133020072,1.477916667
123,PICK_SCORE_TOTAL <= q70 & P_OVER25_ADJ >= q70,51,0.050295858,0.68627451,0.133020072,1.477916667
529,PICK_PROB_ADJ <= q90 & SCORE_LAM_H >= q90,57,0.056213018,0.684210526,0.130956088,1.628421053
267,PICK_PROB_ADJ >= q60 & P_BTTSY_ADJ <= q50,63,0.062130178,0.682539683,0.129285245,1.597704918
601,P_OVER25_ADJ >= q60 & P_BTTSY_ADJ <= q50,63,0.062130178,0.682539683,0.129285245,1.597704918
310,PICK_PROB_ADJ >= q60 & BestOfRank <= q60,146,0.143984221,0.678082192,0.124827754,1.58826087
644,P_OVER25_ADJ >= q60 & BestOfRank <= q60,146,0.143984221,0.678082192,0.124827754,1.58826087
104,PICK_SCORE_TOTAL >= q70 & SCORE_LAM_A >= q90,55,0.054240631,0.672727273,0.119472835,1.66462963
165,PICK_SCORE_TOTAL <= q80 & P_BTTSY_ADJ >= q80,76,0.07495069,0.671052632,0.117798194,1.531710526
312,PICK_PROB_ADJ >= q60 & BestOfRank <= q80,249,0.24556213,0.670682731,0.117428293,1.58780083
646,P_OVER25_ADJ >= q60 & BestOfRank <= q80,249,0.24556213,0.670682731,0.117428293,1.58780083
93,PICK_SCORE_TOTAL >= q70 & xG_Away >= q80,85,0.08382643,0.670588235,0.117333797,1.652857143
