,rules,n,coverage,hit,delta,odd_avg
511,PICK_PROB_ADJ >= q90 & PICK_MARGIN >= q80,110,0.056151097,0.654545455,0.092524015,1.536636364
80,PICK_SCORE_TOTAL >= q70 & xG_Total <= q60,463,0.236345074,0.654427646,0.092406206,1.631450216
399,PICK_PROB_ADJ >= q70 & PICK_MARGIN >= q90,182,0.092904543,0.653846154,0.091824714,1.585054945
457,PICK_PROB_ADJ >= q80 & PICK_MARGIN >= q90,144,0.073506891,0.652777778,0.090756338,1.567361111
84,PICK_SCORE_TOTAL >= q70 & xG_Total <= q50,417,0.212863706,0.652278177,0.090256738,1.621081731
375,PICK_PROB_ADJ >= q70 & xG_Away <= q50,392,0.200102093,0.650510204,0.088488765,1.566377551
387,PICK_PROB_ADJ >= q70 & SCORE_LAM_A <= q50,409,0.20877999,0.650366748,0.088345309,1.565061125
447,PICK_PROB_ADJ >= q80 & SCORE_LAM_A <= q50,294,0.15007657,0.649659864,0.087638424,1.545612245
510,PICK_PROB_ADJ >= q90 & PICK_MARGIN >= q70,136,0.069423175,0.647058824,0.085037384,1.532426471
393,PICK_PROB_ADJ >= q70 & BestOfRank >= q50,231,0.117917305,0.645021645,0.083000206,1.612217391
360,PICK_PROB_ADJ >= q70 & xG_Total <= q60,490,0.250127616,0.644897959,0.08287652,1.571779141
398,PICK_PROB_ADJ >= q70 & PICK_MARGIN >= q80,301,0.153649821,0.644518272,0.082496833,1.585946844
314,PICK_PROB_ADJ >= q60 & xG_Away <= q50,492,0.251148545,0.644308943,0.082287504,1.594979675
258,PICK_SCORE_TOTAL <= q90 & PICK_MARGIN >= q90,118,0.060234814,0.644067797,0.082046357,1.589237288
104,PICK_SCORE_TOTAL >= q70 & SCORE_LAM_A <= q50,396,0.202143951,0.643939394,0.081917954,1.631691919
334,PICK_PROB_ADJ >= q60 & PICK_MARGIN >= q80,351,0.179173047,0.643874644,0.081853204,1.602621083
456,PICK_PROB_ADJ >= q80 & PICK_MARGIN >= q80,213,0.108728943,0.643192488,0.081171049,1.566244131
81,PICK_SCORE_TOTAL >= q70 & xG_Total <= q70,507,0.258805513,0.642998028,0.080976588,1.639841897
397,PICK_PROB_ADJ >= q70 & PICK_MARGIN >= q70,392,0.200102093,0.642857143,0.080835703,1.581556122
455,PICK_PROB_ADJ >= q80 & PICK_MARGIN >= q70,266,0.135783563,0.642857143,0.080835703,1.561954887
437,PICK_PROB_ADJ >= q80 & xG_Away <= q50,279,0.142419602,0.641577061,0.079555621,1.546738351
509,PICK_PROB_ADJ >= q90 & PICK_MARGIN >= q60,159,0.081163859,0.641509434,0.079487994,1.537295597
300,PICK_PROB_ADJ >= q60 & xG_Total <= q60,622,0.317508933,0.6414791,0.07945766,1.595571659
114,PICK_SCORE_TOTAL >= q70 & PICK_MARGIN >= q90,170,0.086778969,0.641176471,0.079155031,1.600411765
512,PICK_PROB_ADJ >= q90 & PICK_MARGIN >= q50,170,0.086778969,0.641176471,0.079155031,1.531656805
324,PICK_PROB_ADJ >= q60 & SCORE_LAM_A <= q50,507,0.258805513,0.641025641,0.079004202,1.591893491
384,PICK_PROB_ADJ >= q70 & SCORE_LAM_A <= q70,507,0.258805513,0.641025641,0.079004202,1.580335968
198,PICK_SCORE_TOTAL >= q90 & PICK_PROB_ADJ >= q90,156,0.079632466,0.641025641,0.079004202,1.558205128
235,PICK_SCORE_TOTAL >= q90 & BestOfRank <= q60,156,0.079632466,0.641025641,0.079004202,1.596474359
548,P_OVER25_ADJ <= q60 & P_BTTSY_ADJ >= q80,156,0.079632466,0.641025641,0.079004202,1.742709677
